    store type  department       date  weekly_sales  is_holiday  temperature_c  fuel_price_usd_per_l  unemployment
1016      2    A          10 2010-09-03      42172.30       False         27.683                 0.681         8.099
1017      2    A          10 2010-10-01      37086.82       False         20.689                 0.688         8.163
1018      2    A          10 2010-11-05      38289.50       False         14.361                 0.710         8.163
1019      2    A          10 2010-12-03      30806.12       False          9.628                 0.715         8.163
1020      2    A          10 2011-01-07      30702.36       False          7.050                 0.786         8.028
1021      2    A          11 2010-02-05      24800.30       False          4.550                 0.679         8.324
1022      2    A          11 2010-03-05      21422.84       False          8.428                 0.693         8.324
1023      2    A          11 2010-04-02      21841.98       False         17.372                 0.718         8.200
1024      2    A          11 2010-05-07      25793.95       False         21.822                 0.749         8.200
1025      2    A          11 2010-06-04      36172.11       False         27.672                 0.715         8.200
1026      2    A          11 2010-07-02      25225.23       False         28.189                 0.705         8.099
1027      2    A          11 2010-08-06      38708.30       False         31.961                 0.694         8.099
1028      2    A          11 2010-09-03      19706.72       False         27.683                 0.681         8.099
1029      2    A          11 2010-10-01      19715.97       False         20.689                 0.688         8.163
1030      2    A          11 2010-11-05      27897.88       False         14.361                 0.710         8.163
1031      2    A          11 2010-12-03      29507.27       False          9.628                 0.715         8.163
1032      2    A          11 2011-01-07      24475.41       False          7.050                 0.786         8.028
1033      2    A          12 2010-02-05       6906.20       False          4.550                 0.679         8.324
1034      2    A          12 2010-03-05       8806.59       False          8.428                 0.693         8.324
1035      2    A          12 2010-04-02       9186.50       False         17.372                 0.718         8.200
1036      2    A          12 2010-05-07       9081.36       False         21.822                 0.749         8.200
1037      2    A          12 2010-06-04       9304.88       False         27.672                 0.715         8.200
1038      2    A          12 2010-07-02       8646.90       False         28.189                 0.705         8.099
1039      2    A          12 2010-08-06       9352.51       False         31.961                 0.694         8.099
1040      2    A          12 2010-09-03       7936.47       False         27.683                 0.681         8.099
1041      2    A          12 2010-10-01       8915.64       False         20.689                 0.688         8.163
1042      2    A          12 2010-11-05       7196.52       False         14.361                 0.710         8.163
1043      2    A          12 2010-12-03       6701.76       False          9.628                 0.715         8.163
1044      2    A          12 2011-01-07       5186.85       False          7.050                 0.786         8.028
1045      2    A          13 2010-02-05      53319.96       False          4.550                 0.679         8.324
1046      2    A          13 2010-03-05      52696.93       False          8.428                 0.693         8.324
1047      2    A          13 2010-04-02      49482.41       False         17.372                 0.718         8.200

