date,year,type,avg_price,size,nb_sold
2015-10-25,2015,conventional,1.09,extra_large,56751.46
2015-10-18,2015,conventional,1.09,small,60339.19
2015-10-11,2015,conventional,0.95,large,86294.11
2015-10-04,2015,conventional,0.96,extra_large,59460.41
2015-09-27,2015,conventional,1.07,small,45662.3
2015-09-20,2015,conventional,0.93,large,86201.96
2015-09-13,2015,conventional,1.07,extra_large,75983.02
2015-09-06,2015,conventional,0.97,small,94436.19
2015-08-30,2015,conventional,1.15,large,61281.24
2015-08-23,2015,conventional,1.12,extra_large,57418.09
2015-08-16,2015,conventional,1.09,small,59216.9
2015-08-09,2015,conventional,1.01,large,67472.2
2015-08-02,2015,conventional,1.15,extra_large,53888.32
2015-07-26,2015,conventional,1.08,small,57210.66
2015-07-19,2015,conventional,0.97,large,61292.37
2015-07-12,2015,conventional,1.14,extra_large,58303.85
2015-07-05,2015,conventional,1.01,small,70560.49
2015-06-28,2015,conventional,1.13,large,65342.19
2015-06-21,2015,conventional,0.99,extra_large,74542.11
2015-06-14,2015,conventional,1.1,small,61261.44
2015-06-07,2015,conventional,0.99,large,72290.28
2015-05-31,2015,conventional,1.1,extra_large,51735.02
2015-05-24,2015,conventional,0.96,small,56539.87
2015-05-17,2015,conventional,1.11,large,45392.29
2015-05-10,2015,conventional,1.1,extra_large,46668.26
2015-05-03,2015,conventional,1,small,66181.63
2015-04-26,2015,conventional,1.12,large,41511.84
2015-04-19,2015,conventional,1.12,extra_large,43342.6
2015-04-12,2015,conventional,0.99,small,50884.32
2015-04-05,2015,conventional,1.04,large,45037.12
2015-03-29,2015,conventional,1.11,extra_large,43780.25
2015-03-22,2015,conventional,1,small,62275.1
2015-03-15,2015,conventional,1.12,large,46575.23
2015-03-08,2015,conventional,1.1,extra_large,43241.42
2015-03-01,2015,conventional,0.99,small,49456.96
2015-02-22,2015,conventional,1.1,large,43430.04
2015-02-15,2015,conventional,1.06,extra_large,44885.92
2015-02-08,2015,conventional,1.03,small,38940.18
2015-02-01,2015,conventional,0.96,large,51694.49
2015-01-25,2015,conventional,1.1,extra_large,36612.16
2015-01-18,2015,conventional,1.11,small,40040.48
2015-01-11,2015,conventional,1.11,large,47038.08
2015-01-04,2015,conventional,1,extra_large,46815.79
2015-12-27,2015,conventional,1.17,small,144911.1
2015-12-20,2015,conventional,1.11,large,144238.07
2015-12-13,2015,conventional,1.15,extra_large,150966.28
2015-12-06,2015,conventional,1.04,small,118664.97
2015-11-29,2015,conventional,1.16,large,105468.28
2015-11-22,2015,conventional,1.12,extra_large,121670.73
2015-11-15,2015,conventional,1.04,small,129760.36
2015-11-08,2015,conventional,1.05,large,144840.21
2015-11-01,2015,conventional,1.12,extra_large,157925.7
2015-10-25,2015,conventional,1.19,small,156128.69
2015-10-18,2015,conventional,0.99,large,151925.64
2015-10-11,2015,conventional,1.24,extra_large,168354.42
2015-10-04,2015,conventional,1.28,small,172234.02
2015-09-27,2015,conventional,1.19,large,151893.12
2015-09-20,2015,conventional,1.17,extra_large,174029.62
2015-09-13,2015,conventional,1.09,small,151499.56
2015-09-06,2015,conventional,1.18,large,168970.84
2015-08-30,2015,conventional,1.24,extra_large,185304.24
2015-08-23,2015,conventional,1.16,small,178376.77
2015-08-16,2015,conventional,1.14,large,155975.35
2015-08-09,2015,conventional,1.16,extra_large,164862.89
2015-08-02,2015,conventional,1.17,small,166728.92
2015-07-26,2015,conventional,1.2,large,178660.25
2015-07-19,2015,conventional,1.18,extra_large,200713.09
2015-07-12,2015,conventional,1.1,small,193887.17
2015-07-05,2015,conventional,1.16,large,206108.89
2015-06-28,2015,conventional,1.15,extra_large,211564.63
2015-06-21,2015,conventional,1.16,small,224622.73
2015-06-14,2015,conventional,1.09,large,249197.18
2015-06-07,2015,conventional,1.26,extra_large,225052.84
2015-05-31,2015,conventional,1.19,small,217785.55
2015-05-24,2015,conventional,1.18,large,234503.17
2015-05-17,2015,conventional,1.27,extra_large,227331.17
2015-05-10,2015,conventional,1.26,small,224519.06
2015-05-03,2015,conventional,1.17,large,209686.17
2015-04-26,2015,conventional,1.29,extra_large,218351.8
2015-04-19,2015,conventional,1.28,small,225627.29
2015-04-12,2015,conventional,1.15,large,201392.01
2015-04-05,2015,conventional,1.29,extra_large,191339.73
2015-03-29,2015,conventional,1.25,small,163768.62
2015-03-22,2015,conventional,1.1,large,176385.62
2015-03-15,2015,conventional,1.24,extra_large,197864.76
2015-03-08,2015,conventional,1.26,small,192522.26
2015-03-01,2015,conventional,1.16,large,171961.07
2015-02-22,2015,conventional,1.11,extra_large,190762.55
2015-02-15,2015,conventional,1.25,small,179990.18
2015-02-08,2015,conventional,1.09,large,180932.96
2015-02-01,2015,conventional,1.06,extra_large,164589.36
2015-01-25,2015,conventional,1.2,small,217350.64
2015-01-18,2015,conventional,1.23,large,173858.5
2015-01-11,2015,conventional,1.17,extra_large,155406.52
2015-01-04,2015,conventional,1.08,small,141136.68
2015-12-27,2015,conventional,0.97,large,23561.1
2015-12-20,2015,conventional,1.03,extra_large,21935.9
2015-12-13,2015,conventional,0.99,small,21868.27
2015-12-06,2015,conventional,0.71,large,43091.6
2015-11-29,2015,conventional,1.06,extra_large,16057.99
2015-11-22,2015,conventional,1.09,small,17547.95
2015-11-15,2015,conventional,1.01,large,25635.41
2015-11-08,2015,conventional,1.11,extra_large,12999.91
2015-11-01,2015,conventional,1.14,small,12362.73
2015-10-25,2015,conventional,1.11,large,13711.48
2015-10-18,2015,conventional,1.16,extra_large,8921.26
2015-10-11,2015,conventional,0.94,small,13769.64
2015-10-04,2015,conventional,1.12,large,5968.42
2015-09-27,2015,conventional,0.99,extra_large,7763.11
2015-09-20,2015,conventional,1.03,small,10893.8
2015-09-13,2015,conventional,1.08,large,7482.65
2015-09-06,2015,conventional,1.16,extra_large,6936.04
2015-08-30,2015,conventional,1.19,small,5440.56
2015-08-23,2015,conventional,1.05,large,7420.09
2015-08-16,2015,conventional,1.12,extra_large,6096.91
2015-08-09,2015,conventional,1.1,small,7582.25
2015-08-02,2015,conventional,1.07,large,6036.39
2015-07-26,2015,conventional,1.07,extra_large,6511.85
2015-07-19,2015,conventional,1.09,small,7170.97
2015-07-12,2015,conventional,1.05,large,9571.92
2015-07-05,2015,conventional,1.15,extra_large,6637.61
2015-06-28,2015,conventional,1.04,small,5621.07
2015-06-21,2015,conventional,1.06,large,7286.27
2015-06-14,2015,conventional,0.99,extra_large,7800.04
2015-06-07,2015,conventional,1.12,small,5612.56
2015-05-31,2015,conventional,0.97,large,7866.15
2015-05-24,2015,conventional,1.03,extra_large,7507.26
2015-05-17,2015,conventional,0.96,small,6354.01
2015-05-10,2015,conventional,1.06,large,9495.53
2015-05-03,2015,conventional,1,extra_large,6354.81
2015-04-26,2015,conventional,0.96,small,7179.45
2015-04-19,2015,conventional,0.99,large,7960.22
2015-04-12,2015,conventional,1.19,extra_large,5747.78
2015-04-05,2015,conventional,1.09,small,6513.78
2015-03-29,2015,conventional,0.98,large,4789.54
2015-03-22,2015,conventional,1.17,extra_large,3311.77
2015-03-15,2015,conventional,1,small,4445.9
2015-03-08,2015,conventional,1.14,large,4860.43
2015-03-01,2015,conventional,1.06,extra_large,7237.98
2015-02-22,2015,conventional,0.99,small,7467.27
2015-02-15,2015,conventional,1.14,large,5340.86
2015-02-08,2015,conventional,1.07,extra_large,3047.17
2015-02-01,2015,conventional,0.91,small,6644.84
2015-01-25,2015,conventional,1.03,large,4530.04
2015-01-18,2015,conventional,1.08,extra_large,3915.94
2015-01-11,2015,conventional,1.18,small,4923.75
2015-01-04,2015,conventional,1.01,large,7755.62
2015-12-27,2015,conventional,1.13,extra_large,86012.86
2015-12-20,2015,conventional,1.07,small,88901.8
2015-12-13,2015,conventional,1.01,large,89722.96
2015-12-06,2015,conventional,1.02,extra_large,75889.78
2015-11-29,2015,conventional,1.19,small,74125.62
2015-11-22,2015,conventional,1.07,large,78648.17
2015-11-15,2015,conventional,1.05,extra_large,87352.15
2015-11-08,2015,conventional,1.04,small,93342.82
2015-11-01,2015,conventional,1.06,large,98507.92
2015-10-25,2015,conventional,1.02,extra_large,99326.99
2015-10-18,2015,conventional,0.94,small,91049.58
2015-10-11,2015,conventional,1.14,large,101909.89
2015-10-04,2015,conventional,1.07,extra_large,103038.91
2015-09-27,2015,conventional,1.07,small,84726.9
2015-09-20,2015,conventional,1.15,large,95171.55
2015-09-13,2015,conventional,1.03,extra_large,89114.66
2015-09-06,2015,conventional,1.11,small,95172.85
2015-08-30,2015,conventional,1.13,large,83430.9
2015-08-23,2015,conventional,1.07,extra_large,95826.5
2015-08-16,2015,conventional,1.15,small,96109.23
2015-08-09,2015,conventional,1.07,large,94518.79
2015-08-02,2015,conventional,1.17,extra_large,97508.59
2015-07-26,2015,conventional,1.28,small,100694.94
2015-07-19,2015,conventional,1.18,large,109746.47
2015-07-12,2015,conventional,1.14,extra_large,148182.59
2015-07-05,2015,conventional,1.27,small,148861.42
2015-06-28,2015,conventional,1.25,large,143455.74
2015-06-21,2015,conventional,1.24,extra_large,126114.48
2015-06-14,2015,conventional,1.08,small,151442.1
2015-06-07,2015,conventional,1.25,large,137408.28
2015-05-31,2015,conventional,1.26,extra_large,142818.64
2015-05-24,2015,conventional,1.14,small,138157.74
2015-05-17,2015,conventional,1.26,large,149526.12
2015-05-10,2015,conventional,1.14,extra_large,143997.65
2015-05-03,2015,conventional,1.17,small,118714.26
2015-04-26,2015,conventional,1.28,large,109400.12
2015-04-19,2015,conventional,1.15,extra_large,115562.72
2015-04-12,2015,conventional,1.26,small,110638.95
2015-04-05,2015,conventional,1.27,large,115635.81
2015-03-29,2015,conventional,1.19,extra_large,110561.28
2015-03-22,2015,conventional,1.18,small,102664.18
2015-03-15,2015,conventional,1.25,large,102556.32
2015-03-08,2015,conventional,1.17,extra_large,114386.82
2015-03-01,2015,conventional,1.11,small,97862.93
2015-02-22,2015,conventional,1.23,large,100715.97
2015-02-15,2015,conventional,1.2,extra_large,114839.16
2015-02-08,2015,conventional,1.04,small,106216.72
2015-02-01,2015,conventional,1.22,large,110214.39
2015-01-25,2015,conventional,1.17,extra_large,116472.16
2015-01-18,2015,conventional,1.23,small,109036.52
2015-01-11,2015,conventional,1.1,large,111524.61
2015-01-04,2015,conventional,1.02,extra_large,87663.13
2015-12-27,2015,conventional,1.35,small,55236.68
2015-12-20,2015,conventional,1.37,large,51165.21
2015-12-13,2015,conventional,1.35,extra_large,56202.44
2015-12-06,2015,conventional,1.23,small,48355.65
2015-11-29,2015,conventional,1.39,large,42662.25
2015-11-22,2015,conventional,1.4,extra_large,49642.35
2015-11-15,2015,conventional,1.36,small,56335.34
2015-11-08,2015,conventional,1.3,large,60187.87
2015-11-01,2015,conventional,1.23,extra_large,54298.62
2015-10-25,2015,conventional,1.36,small,61283.43
2015-10-18,2015,conventional,1.29,large,63787.47
2015-10-11,2015,conventional,1.3,extra_large,56025.17
2015-10-04,2015,conventional,1.33,small,57425.67
2015-09-27,2015,conventional,1.31,large,28438.3
2015-09-20,2015,conventional,1.54,extra_large,19258.95
2015-09-13,2015,conventional,1.59,small,22867.43
2015-09-06,2015,conventional,1.56,large,25106.09
2015-08-30,2015,conventional,1.38,extra_large,20483.02
2015-08-23,2015,conventional,1.49,small,23840.42
2015-08-16,2015,conventional,1.5,large,22371.73
2015-08-09,2015,conventional,1.47,extra_large,24051.92
2015-08-02,2015,conventional,1.47,small,31622.86
2015-07-26,2015,conventional,1.39,large,43788.54
2015-07-19,2015,conventional,1.36,extra_large,70982.41
2015-07-12,2015,conventional,1.45,small,74222.68
2015-07-05,2015,conventional,1.47,large,75277.49
2015-06-28,2015,conventional,1.36,extra_large,78811.96
2015-06-21,2015,conventional,1.5,small,54130.44
2015-06-14,2015,conventional,1.34,large,95473.84
2015-06-07,2015,conventional,1.38,extra_large,71990.67
2015-05-31,2015,conventional,1.4,small,75473.15
2015-05-24,2015,conventional,1.43,large,65785.96
2015-05-17,2015,conventional,1.35,extra_large,74392.69
2015-05-10,2015,conventional,1.33,small,95285.89
2015-05-03,2015,conventional,1.42,large,85477.33
2015-04-26,2015,conventional,1.41,extra_large,86183.43
2015-04-19,2015,conventional,1.42,small,85576.8
2015-04-12,2015,conventional,1.42,large,71752.15
2015-04-05,2015,conventional,1.44,extra_large,72056.8
2015-03-29,2015,conventional,1.39,small,70027.47
2015-03-22,2015,conventional,1.4,large,71344.15
2015-03-15,2015,conventional,1.47,extra_large,54157.6
2015-03-08,2015,conventional,1.35,small,62576.63
2015-03-01,2015,conventional,1.43,large,69541.74
2015-02-22,2015,conventional,1.41,extra_large,62312.01
2015-02-15,2015,conventional,1.44,small,55357.07
2015-02-08,2015,conventional,1.36,large,64513.81
2015-02-01,2015,conventional,1.33,extra_large,86919.58
2015-01-25,2015,conventional,1.5,small,58649.74
2015-01-18,2015,conventional,1.52,large,43421.89
2015-01-11,2015,conventional,1.54,extra_large,53514.26
2015-01-04,2015,conventional,1.4,small,57182.88
2015-12-27,2015,conventional,0.9,large,1212707.01
2015-12-20,2015,conventional,0.94,extra_large,1209165.2
2015-12-13,2015,conventional,0.87,small,1592438.33
2015-12-06,2015,conventional,0.78,large,1510267.34
2015-11-29,2015,conventional,0.91,extra_large,1081497.47
2015-11-22,2015,conventional,0.92,small,1069305.91
2015-11-15,2015,conventional,0.83,large,1152918.94
2015-11-08,2015,conventional,0.98,extra_large,855636.58
2015-11-01,2015,conventional,0.95,small,651915.96
2015-10-25,2015,conventional,1.12,large,618031.72
2015-10-18,2015,conventional,1.07,extra_large,646990.52
2015-10-11,2015,conventional,1.08,small,555041.88
2015-10-04,2015,conventional,1.02,large,472090.38
2015-09-27,2015,conventional,1.04,extra_large,515245.79
2015-09-20,2015,conventional,1.14,small,552209.77
2015-09-13,2015,conventional,1.13,large,584419.64
2015-09-06,2015,conventional,1.09,extra_large,629688.27
2015-08-30,2015,conventional,1.08,small,649475.65
2015-08-23,2015,conventional,1.18,large,545248.81
2015-08-16,2015,conventional,1.11,extra_large,577651.8
2015-08-09,2015,conventional,1.1,small,580768.97
2015-08-02,2015,conventional,1.16,large,566776.08
2015-07-26,2015,conventional,1.13,extra_large,598607.54
2015-07-19,2015,conventional,1.18,small,601233.56
2015-07-12,2015,conventional,1.13,large,622965.78
2015-07-05,2015,conventional,1.12,extra_large,762371.42
2015-06-28,2015,conventional,1.1,small,654819
2015-06-21,2015,conventional,1.07,large,662032.34
2015-06-14,2015,conventional,0.97,extra_large,683201.17
2015-06-07,2015,conventional,0.98,small,678868.68
2015-05-31,2015,conventional,0.98,large,580523.01
2015-05-24,2015,conventional,1.1,extra_large,574119.93
2015-05-17,2015,conventional,1.08,small,547243.56
2015-05-10,2015,conventional,0.93,large,634790.89
2015-05-03,2015,conventional,0.88,extra_large,631798.44
2015-04-26,2015,conventional,1.15,small,576599.58
2015-04-19,2015,conventional,1.05,large,598285.63
2015-04-12,2015,conventional,1.06,extra_large,614443.51
2015-04-05,2015,conventional,1.12,small,601124.94
2015-03-29,2015,conventional,1.1,large,669440.18
2015-03-22,2015,conventional,1.06,extra_large,713009.12
2015-03-15,2015,conventional,1.06,small,662527.26
2015-03-08,2015,conventional,0.96,large,671312.66
2015-03-01,2015,conventional,0.84,extra_large,552070.01
2015-02-22,2015,conventional,0.96,small,635318.73
2015-02-15,2015,conventional,0.96,large,594411.66
2015-02-08,2015,conventional,0.91,extra_large,612526.38
2015-02-01,2015,conventional,0.85,small,600149.24
2015-01-25,2015,conventional,1.06,large,570609.87
2015-01-18,2015,conventional,1.02,extra_large,559990.93
2015-01-11,2015,conventional,0.92,small,546047.53
2015-01-04,2015,conventional,0.93,large,528451.74
2015-12-27,2015,conventional,0.96,extra_large,37630.04
2015-12-20,2015,conventional,0.98,small,35054.76
2015-12-13,2015,conventional,0.95,large,39031.59
2015-12-06,2015,conventional,0.99,extra_large,30439.26
2015-11-29,2015,conventional,0.95,small,30791.41
2015-11-22,2015,conventional,1,large,25723.09
2015-11-15,2015,conventional,1.01,extra_large,23632.22
2015-11-08,2015,conventional,1.03,small,29723.04
2015-11-01,2015,conventional,1.11,large,37373.73
2015-10-25,2015,conventional,1.27,extra_large,34587.41
2015-10-18,2015,conventional,1.26,small,34534.79
2015-10-11,2015,conventional,1.14,large,39795.83
2015-10-04,2015,conventional,1.22,extra_large,38050.77
2015-09-27,2015,conventional,1.09,small,31620.63
2015-09-20,2015,conventional,1.2,large,47353.43
2015-09-13,2015,conventional,1.19,extra_large,62868.31
2015-09-06,2015,conventional,1.01,small,66041.86
2015-08-30,2015,conventional,1.2,large,65683.65
2015-08-23,2015,conventional,1.15,extra_large,78864.57
2015-08-16,2015,conventional,1.24,small,62985.56
2015-08-09,2015,conventional,1.21,large,61746.27
2015-08-02,2015,conventional,1.24,extra_large,60699.91
2015-07-26,2015,conventional,1.23,small,64127.07
2015-07-19,2015,conventional,1.19,large,65605.47
2015-07-12,2015,conventional,1.18,extra_large,67851.56
2015-07-05,2015,conventional,1.18,small,71243.15
2015-06-28,2015,conventional,1.17,large,69753.61
2015-06-21,2015,conventional,1.17,extra_large,73048.34
2015-06-14,2015,conventional,1.15,small,69824.22
2015-06-07,2015,conventional,1.15,large,72650.56
2015-05-31,2015,conventional,1.19,extra_large,61153.08
2015-05-24,2015,conventional,1.2,small,63676.95
2015-05-17,2015,conventional,1.21,large,59786.84
2015-05-10,2015,conventional,1.19,extra_large,63906.65
2015-05-03,2015,conventional,1,small,64214.79
2015-04-26,2015,conventional,1.2,large,59902.38
2015-04-19,2015,conventional,1.18,extra_large,64618.32
2015-04-12,2015,conventional,1.17,small,65183.51
2015-04-05,2015,conventional,1.19,large,58148.27
2015-03-29,2015,conventional,1.23,extra_large,52860.94
2015-03-22,2015,conventional,1.19,small,59411.65
2015-03-15,2015,conventional,1.19,large,52470.09
2015-03-08,2015,conventional,1.25,extra_large,53912.29
2015-03-01,2015,conventional,1.18,small,55725.59
2015-02-22,2015,conventional,1.08,large,46972.92
2015-02-15,2015,conventional,1.22,extra_large,49548.44
2015-02-08,2015,conventional,1.17,small,51284.33
2015-02-01,2015,conventional,0.98,large,49070.43
2015-01-25,2015,conventional,1.18,extra_large,54309.81
2015-01-18,2015,conventional,1.25,small,47055.08
2015-01-11,2015,conventional,1.26,large,49435.79
2015-01-04,2015,conventional,1.19,extra_large,50797.56
2015-12-27,2015,conventional,0.93,small,94741.09
2015-12-20,2015,conventional,0.91,large,94063.9
2015-12-13,2015,conventional,1.07,extra_large,82588.46
2015-12-06,2015,conventional,1.14,small,62910.83
2015-11-29,2015,conventional,1.11,large,62161.46
2015-11-22,2015,conventional,0.94,extra_large,73751.75
2015-11-15,2015,conventional,1.17,small,74984.77
2015-11-08,2015,conventional,1.01,large,66166.46
2015-11-01,2015,conventional,1,extra_large,68869.94
2015-10-25,2015,conventional,1.12,small,66124.18
2015-10-18,2015,conventional,1.15,large,63116.01
2015-10-11,2015,conventional,1.08,extra_large,68648.48
2015-10-04,2015,conventional,1.18,small,69930.27
2015-09-27,2015,conventional,1.15,large,70795.02
2015-09-20,2015,conventional,1.19,extra_large,74891.66
2015-09-13,2015,conventional,1.19,small,82914.08
2015-09-06,2015,conventional,1.11,large,86202.35
2015-08-30,2015,conventional,1.12,extra_large,73918.94
2015-08-23,2015,conventional,1.2,small,80272.17
2015-08-16,2015,conventional,1.16,large,83807.06
2015-08-09,2015,conventional,1.25,extra_large,81788.18
2015-08-02,2015,conventional,1.27,small,82175.8
2015-07-26,2015,conventional,1.12,large,88152.13
2015-07-19,2015,conventional,1.24,extra_large,98743.44
2015-07-12,2015,conventional,1.26,small,94328.48
2015-07-05,2015,conventional,1.24,large,129052.84
2015-06-28,2015,conventional,1.21,extra_large,129786.59
2015-06-21,2015,conventional,1.24,small,111021.71
2015-06-14,2015,conventional,1.21,large,119024.61
2015-06-07,2015,conventional,1.24,extra_large,105212.4
2015-05-31,2015,conventional,1.26,small,101425.36
2015-05-24,2015,conventional,1.23,large,104263.68
2015-05-17,2015,conventional,1.23,extra_large,85534.2
2015-05-10,2015,conventional,1.23,small,93316.19
2015-05-03,2015,conventional,1.04,large,93715.67
2015-04-26,2015,conventional,1.24,extra_large,92705.9
2015-04-19,2015,conventional,1.24,small,92160.87
2015-04-12,2015,conventional,1.24,large,94153.9
2015-04-05,2015,conventional,1.27,extra_large,91422.8
2015-03-29,2015,conventional,1.22,small,101458.91
2015-03-22,2015,conventional,1.21,large,90358.9
2015-03-15,2015,conventional,1.09,extra_large,97254.41
2015-03-08,2015,conventional,1.18,small,109455.37
2015-03-01,2015,conventional,1.09,large,90420.46
2015-02-22,2015,conventional,1.18,extra_large,94439.89
2015-02-15,2015,conventional,1.17,small,97651.22
2015-02-08,2015,conventional,1.13,large,82336.09
2015-02-01,2015,conventional,0.91,extra_large,93077.9
2015-01-25,2015,conventional,1.22,small,85220.93
2015-01-18,2015,conventional,1.14,large,98865.72
2015-01-11,2015,conventional,1.15,extra_large,79298.64
2015-01-04,2015,conventional,1.11,small,77539.48
2015-12-27,2015,conventional,0.87,large,50369.3
2015-12-20,2015,conventional,0.85,extra_large,56245.76
2015-12-13,2015,conventional,0.79,small,75464.86
2015-12-06,2015,conventional,0.83,large,59144
2015-11-29,2015,conventional,0.88,extra_large,38977.9
2015-11-22,2015,conventional,0.89,small,47140.21
2015-11-15,2015,conventional,0.88,large,56845.8
2015-11-08,2015,conventional,0.87,extra_large,60246.26
2015-11-01,2015,conventional,0.93,small,71626.45
2015-10-25,2015,conventional,1.01,large,59603.9
2015-10-18,2015,conventional,0.98,extra_large,43077.8
2015-10-11,2015,conventional,0.91,small,50536.17
2015-10-04,2015,conventional,0.93,large,64105.72
2015-09-27,2015,conventional,1.08,extra_large,49128.68
2015-09-20,2015,conventional,1.05,small,47094.76
2015-09-13,2015,conventional,1.05,large,56180
2015-09-06,2015,conventional,1.02,extra_large,66632.12
2015-08-30,2015,conventional,1.01,small,63318.92
2015-08-23,2015,conventional,1.05,large,58589.27
2015-08-16,2015,conventional,1.01,extra_large,63557.7
2015-08-09,2015,conventional,1.08,small,56136.97
2015-08-02,2015,conventional,1.09,large,51052.19
2015-07-26,2015,conventional,1.03,extra_large,68917.85
2015-07-19,2015,conventional,1.06,small,58337.87
2015-07-12,2015,conventional,1.03,large,61781.42
2015-07-05,2015,conventional,1.03,extra_large,71706.32
2015-06-28,2015,conventional,1.01,small,72823.95
2015-06-21,2015,conventional,1.02,large,65000.04
2015-06-14,2015,conventional,1.05,extra_large,66485.56
2015-06-07,2015,conventional,1.07,small,63389.74
2015-05-31,2015,conventional,1.06,large,63377.28
2015-05-24,2015,conventional,1.1,extra_large,55604.51
2015-05-17,2015,conventional,1.04,small,59491.63
2015-05-10,2015,conventional,1.06,large,73034.51
2015-05-03,2015,conventional,1.08,extra_large,57176.48
2015-04-26,2015,conventional,1.06,small,60583.96
2015-04-19,2015,conventional,1.02,large,60889.38
2015-04-12,2015,conventional,1.02,extra_large,55624.64
2015-04-05,2015,conventional,1.06,small,51050.29
2015-03-29,2015,conventional,0.95,large,70724.27
2015-03-22,2015,conventional,0.98,extra_large,48822.51
2015-03-15,2015,conventional,0.94,small,57836.43
2015-03-08,2015,conventional,0.87,large,64425.57
2015-03-01,2015,conventional,0.89,extra_large,47259.72
2015-02-22,2015,conventional,0.93,small,41141.35
2015-02-15,2015,conventional,0.94,large,39617.86
2015-02-08,2015,conventional,0.93,extra_large,37258.67
2015-02-01,2015,conventional,0.86,small,51829.32
2015-01-25,2015,conventional,0.93,large,46636.08
2015-01-18,2015,conventional,0.93,extra_large,42403.04
2015-01-11,2015,conventional,0.92,small,43475.66
2015-01-04,2015,conventional,0.88,large,55083.44
2015-12-27,2015,conventional,0.99,extra_large,23071.78
2015-12-20,2015,conventional,1.03,small,20266.48
2015-12-13,2015,conventional,1.03,large,20165.81
2015-12-06,2015,conventional,0.99,extra_large,18819.11
2015-11-29,2015,conventional,1.03,small,17371.46
2015-11-22,2015,conventional,1.04,large,18380.41
2015-11-15,2015,conventional,0.99,extra_large,23023.6
2015-11-08,2015,conventional,0.95,small,25669.5
2015-11-01,2015,conventional,0.99,large,21489.11
2015-10-25,2015,conventional,1.04,extra_large,17089.46
2015-10-18,2015,conventional,0.98,small,23459.71
2015-10-11,2015,conventional,0.9,large,23892.68
2015-10-04,2015,conventional,0.93,extra_large,19254.83
2015-09-27,2015,conventional,1.02,small,18440.24
2015-09-20,2015,conventional,1,large,21237.4
2015-09-13,2015,conventional,1.02,extra_large,24698.19
2015-09-06,2015,conventional,1.04,small,21787.18
